"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
current_tb,tb_history,"Current TB episode",yesno,"Do you currently have TB?",,,,,,,,,,,,,
tb_contact_hist,tb_history,,yesno,"Did you have close contact with anyone that has TB?",,,,,,,,,,,,,
contact_place,tb_history,,dropdown,"If yes, indicate the type of contact:","1, Household|2, Family/partner/close friend outside the household|3, Place of work/study/prayer/recreation|97, Not applicable",,,,,,"[tb_contact_hist] = '1'",,,,,,
tb_contact,tb_history,,dropdown,"When did the contact occur?","1, Current | 2, Within the last 6 months | 3, Within the last 6-24 months | 4, Beyond the last 24 months | 97, Not applicable",,,,,,"[tb_contact_hist] = '1'",,,,,,
tb_diagnosis_date,tb_history,,text,"Date of diagnosis",,,date_dmy,,,,"[current_tb] = '1'",,,,,,
current_tb_site,tb_history,,checkbox,"Site of TB for current episode","1, Pulmonary TB | 2, Extrapulmonary TB | 3, Pulmonary and extrapulmonary TB | 89, Unsure",,,,,,"[current_tb] = '1'",,,,,,
cur_tb_xtrapulm_sites,tb_history,,checkbox,"Extrapulmonary sites
","1, Abdominal | 2, Bone/joint | 3, CNS Tuberculoma/s | 4, Disseminated | 5, Meningitis | 6, Miliary TB | 7, Pericardial effusion | 8, Peripheral nodes | 9, Pleural effusion | 10, Spinal | 99, Other",,,,,,"[current_tb_site(2)] = '1' and [current_tb_site(3)] = '1'",,,,,,
cur_tb_xtrapulm_other_spec,tb_history,,text,"Extrapulmonary site, other",,,,,,,"[cur_tb_xtrapulm_sites(99)] = '1'",,,,,,
currrent_tb_rx,tb_history,,yesno,"Is the participant currently on TB treatment?",,,,,,,,,,,,,
preventive_therapy,tb_history,,yesno,"Is the participant currently taking preventive therapy?",,,,,,,,,,,,,
ipt_completed,tb_history,,yesno,"Has treatment been completed?",,,,,,,,,,,,,
ipt_date_completed,tb_history,,text,"If yes, date IPT completed:",,,date_dmy,,,,"[ipt_completed] = '1'",,,,,,
details_tb_epi,tb_history,,notes,"Details of most recent TB episode",,,,,,,,,LV,,,,
hiv_status_known,hiv_history,"HIV history",yesno,"Is HIV status known?",,,,,,,,,,,,,
hiv_status,hiv_history,,dropdown,"HIV status","1, HIV Negative|2, HIV Positive|3, HIV tested, results unknown|4, Not tested|5, Refused to disclose|6, Refused HIV testing",,,,,,"[hiv_status_known] = '1'",,,,,,
hiv_rx,hiv_history,,yesno,"Are you currently on ART?",,,,,,,,,,,,,
art_status,hiv_history,,dropdown,"ART status","1, Current | 2, Naive | 3, Interrupted | 4, Refused",,,,,,"[hiv_rx] = '1'",,,,,,
current_art_start_date,hiv_history,,text,"ART start date",,,date_dmy,,,,"[hiv_rx] = '1'",,,,,,
art_duration,hiv_history,,text,"ART duration",,,,,,,"[hiv_rx] = '1'",,,,,,
current_art_regimen,hiv_history,,checkbox,"Current ART regimen","1, 3TC = Lamivudine | 2, ABC = Abacvir | 3, ATV = Atazanavir | 4, ATV/r = Atazanavir + ritonavir | 5, AZT = Zidovidine | 6, d4T = Stavudine | 7, ddI = Didanosine | 8, DRV = Darunavir | 9, DRV/r = Darunavir + ritonavir | 10, DTG = Dolutegravir | 11, EFV = Efivarenz | 12, ETR = Etravirine | 13, FTC = Emtricitibine | 14, LPV/r = Lopinavir + ritonavir (Kaletra/Aluvia) | 15, NVP = Nevirapine | 16, RAL = Raltegravir | 17, TDF = Tenofovir disoproxil fumarate | 18, TDF+3TC+DTG as fixed dose combination (Acriptega) | 19, TDF+FTC as fixed dose combination (Truvada) | 20, TDF+FTC+EFV as fixed dose combination (Trimune/Tribuss/Odimune /Atroiza /Atripla) | 99, Other",,,,,,"[hiv_rx] = '1'",,,,,,
art_other,hiv_history,,text,"Other, specify name",,,,,,,,y,,,,,
art_ever_default,hiv_history,,yesno,"Have you ever defaulted on your HIV treatment?",,,,,,,,,,,,,
prev_art_start_date,hiv_history,,text,"Previous ART start date",,,date_dmy,,,,,,,,,,
previous_art_end_date,hiv_history,,text,"Previous ART end date",,,date_dmy,,,,,,,,,,
who_staging,hiv_history,,dropdown,"WHO staging","Z1, I | 2, II | 3, III | 4, IV | 97, Not applicable",,,,,,,,,,,,
details_hiv,hiv_history,,notes,"Details of HIV disease
<i>Lab results or other notes</i>",,,,,,,,,LV,,,,
ever_smoked,substance_use_history,"Smoking Habits",yesno,"Have you ever smoked?",,,,,,,,,,,,,
currently_smoking,substance_use_history,,yesno,"Do you currently smoke?",,,,,,,,,,,,,
smoking_duration,substance_use_history,,text,"For how long have you been smoking? ",,,number,,,,"[currently_smoking] = '1'",,,,,,
number_cigarettes,substance_use_history,,text,"What is the number of cigarettes smoked per day?",,,number,,,,"[currently_smoking] = '1'",,,,,,
pack_years,substance_use_history,,calc,"Pack years","([number_cigarettes]/20) * [smoking_duration]",Calculated,,,,,,,,,,,@readonly
ever_alcohol,substance_use_history,"Alcohol consumption",yesno,"Have you ever used alcohol?",,,,,,,,,,,,,
currently_drink,substance_use_history,,yesno,"Do you currently drink?",,,,,,,,,,,,,
alcohol_cut_down,substance_use_history,,yesno,"Have you ever felt you needed to Cut down on your drinking?",,,,,,,"[currently_drink] = '1'",,,,,,
alcohol_use_criticism,substance_use_history,,yesno,"Have people Annoyed you by criticizing your drinking?",,,,,,,"[currently_drink] = '1'",,,,,,
alcohol_guilty,substance_use_history,,yesno,"Have you ever felt Guilty about drinking?",,,,,,,"[currently_drink] = '1'",,,,,,
alcohol_first_thing,substance_use_history,,yesno,"Have you ever felt you needed a drink first thing in the morning (Eye-opener) to steady your nerves or to get rid of a hangover?",,,,,,,"[currently_drink] = '1'",,,,,,
alcohol_duration,substance_use_history,,text,"For how long have you been using alcohol?",,,number,,,,"[ever_alcohol] = '1' or [currently_drink] = '1'",,,,,,
anabolic_steroids,substance_use_history,"Drug use",checkbox,"Anabolic Steroids","1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
cocaine,substance_use_history,,checkbox,Cocaine,"1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
crack,substance_use_history,,checkbox,Crack,"1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
ecstasy,substance_use_history,,checkbox,Ecstasy,"1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
heroin,substance_use_history,,checkbox,Heroin,"1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
inhalants,substance_use_history,,checkbox,Inhalants,"1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
lsd_acid,substance_use_history,,checkbox,"LSD (Acid)","1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
marijuana,substance_use_history,,checkbox,Marijuana,"1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
methamphetamine,substance_use_history,,checkbox,"Methamphetamine (Speed, Crank, Crystal Meth)","1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
mushrooms,substance_use_history,,checkbox,Mushrooms,"1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
oxycontin,substance_use_history,,checkbox,OxyContin,"1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
painkillers,substance_use_history,,checkbox,Painkillers,"1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
pcp_angel_dust,substance_use_history,,checkbox,"PCP (Angel Dust)","1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
special_k,substance_use_history,,checkbox,"'Special K'","1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
other,substance_use_history,,checkbox,Other,"1, Ever taken | 2, Currently taking",,,,,,,,,,drug_usage,,
other_drug_ever_specify,substance_use_history,,text,"Specify other drug from ever taken list",,,,,,,"[other(1)] = '1'",,,,,,
other_drug_current_specify,substance_use_history,,text,"Specify other drug from currently taking list",,,,,,,"[other(2)] = '1'",,,,,,
drug_use_duration,substance_use_history,,text,"For how long have you been using drugs?",,,number,,,,,,,,,,
co_morbidities,other_medical_history,Co-morbidities,yesno,"Does the participant have any pre-existing medical conditions or co-morbidities?",,,,,,,,,,,,,
angina,other_medical_history,Myocardial,radio,Angina,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,myocardial,,
valve_disease,other_medical_history,,radio,"Valve disease","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,myocardial,,
myocardial_infarction,other_medical_history,,radio,"Myocardial infarction","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,myocardial,,
congestive_heart_failure,other_medical_history,,radio,"Congestive Heart failure","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,myocardial,,
cerebrovasc_disease,other_medical_history,Vascular,radio,"Cerebrovascular disease","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,vascular,,
hypetension,other_medical_history,,radio,Hypertension,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,vascular,,
periph_vasc_disease,other_medical_history,,radio,"Peripheral vascular disease or claudication","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,vascular,,
asthma,other_medical_history,Pulmonary,radio,Asthma,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,pulmonary,,
copd,other_medical_history,,radio,COPD,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,pulmonary,,
dementia,other_medical_history,Neurological,radio,Dementia,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,neurological,,
hemiplegia,other_medical_history,,radio,Hemiplegia,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,neurological,,
paraplegic,other_medical_history,,radio,Paraplegia,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,neurological,,
neurological_illness,other_medical_history,,radio,"Neurological illness e.g. Parkinsons","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,neurological,,
other_disability,other_medical_history,,radio,"Other disability","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,neurological,,
specify_other_disability,other_medical_history,,text,"Specify other disability",,,,,,,"[other_disability] = '1'",,,,,,
diabetes_type_1,other_medical_history,Endocrine,radio,"Diabetes Type 1","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,endorine,,
diabetes_type_2,other_medical_history,,radio,"Diabetes Type 2","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,endorine,,
gastroint_reflux_dis,other_medical_history,Gastrointestinal,radio,"Gastroesophageal reflux disease","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,gastrointestinal,,
inflammatory_bowel,other_medical_history,,radio,"Inflammatory bowel disease","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,gastrointestinal,,
liver_disease,other_medical_history,,radio,"Liver disease","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,gastrointestinal,,
peptic_ulcer,other_medical_history,,radio,"Peptic ulcer","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,gastrointestinal,,
leukemia,other_medical_history,Cancer,radio,Leukemia,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,cancer,,
lymphoma,other_medical_history,,radio,Lymphoma,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,cancer,,
solid_organ_cancer,other_medical_history,,radio,"Solid organ cancer","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,cancer,,
anxiety_or_panic_disorders,other_medical_history,Psychological,radio,"Anxiety or Panic Disorders","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,psychological,,
depression,other_medical_history,,radio,Depression,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,psychological,,
ptsd,other_medical_history,,radio,"Post-traumatic stress disorder","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,psychological,,
arthritis,other_medical_history,Muscoskeletal,radio,Arthritis,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,muscoskeletal,,
connective_tissue_disease,other_medical_history,,radio,"Connective Tissue disease","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,muscoskeletal,,
degenerative_disc_disease,other_medical_history,,radio,"Degenerative Disc disease","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,muscoskeletal,,
osteoporosis,other_medical_history,,radio,Osteoporosis,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,muscoskeletal,,
hearing_impairment,other_medical_history,Miscellaneous,radio,"Hearing Impairment","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,miscellaneous,,
visual_impairment,other_medical_history,,radio,"Visual Impairment","1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,miscellaneous,,
other_co_morbid,other_medical_history,,radio,Other,"1, Yes|0, No",,,,,,"[co_morbidities] = '1'",,,,miscellaneous,,
co_morb_other_spec,other_medical_history,,text,"If other, specify additional co-morbidity",,,,,,,"[other_co_morbid] = '1'",,,,,,
observation_date,observations,Observations,text,"Date of observation",,,date_dmy,,,,,,,,,,
weight,observations,,text,Weight,,kg,,,,,,,,,,,
height,observations,,text,Height,,cm,,,,,,,,,,,
bmi,observations,,calc,BMI,"round(([weight]*10000)/(([height])^(2)),1)",Calculated,,,,,,,,,,,@readonly
temperature,observations,,text,Temperature,,"degrees celsius",,,,,,,,,,,
bp_systolic,observations,,text,"Blood pressure: Systolic",,mmHg,,,,,,,,,,,
bp_diastolic,observations,,text,"Blood pressure: Diastolic",,mmHg,,,,,,,,,,,
bp_position,observations,,dropdown,"BP position","1, Sitting | 2, Standing | 3, Lying down",,,,,,,,,,,,
heart_rate,observations,,text,"Heart rate",,"Beats per minute",,,,,,,,,,,
respiratory_rate,observations,,text,"Respiratory rate",,"Breaths per minute",,,,,,,,,,,
pulse_oximeter,observations,,text,"Pulse oximeter",,%,,,,,,,,,,,
glucometer,observations,,text,Glucometer,,mmol/l,,,,,,,,,,,
heent,initial_clinical_assessment,"General Exam",radio,"Head, eyes, ears, nose, and throat","1, Normal|2, Abnormal|95, Not done",,,,,,,,,,body_systems,,
cardiovascular,initial_clinical_assessment,,radio,Cardiovascular,"1, Normal|2, Abnormal|95, Not done",,,,,,,,,,body_systems,,
endocrine,initial_clinical_assessment,,radio,Endocrine,"1, Normal|2, Abnormal|95, Not done",,,,,,,,,,body_systems,,
gastrointestinal,initial_clinical_assessment,,radio,Gastrointestinal,"1, Normal|2, Abnormal|95, Not done",,,,,,,,,,body_systems,,
lymphatic,initial_clinical_assessment,,radio,Lymphatic,"1, Normal|2, Abnormal|95, Not done",,,,,,,,,,body_systems,,
neurological,initial_clinical_assessment,,radio,Neurological,"1, Normal|2, Abnormal|95, Not done",,,,,,,,,,body_systems,,
psychiatric,initial_clinical_assessment,,radio,Psychiatric,"1, Normal|2, Abnormal|95, Not done",,,,,,,,,,body_systems,,
respiratory,initial_clinical_assessment,,radio,Respiratory,"1, Normal|2, Abnormal|95, Not done",,,,,,,,,,body_systems,,
skin,initial_clinical_assessment,,radio,Skin,"1, Normal|2, Abnormal|95, Not done",,,,,,,,,,body_systems,,
urogenital,initial_clinical_assessment,,radio,Urogenital,"1, Normal|2, Abnormal|95, Not done",,,,,,,,,,body_systems,,
performance_status,initial_clinical_assessment,,radio,"Performance status","0, 0 - Fully active, able to carry on all pre-disease performance without restriction | 1, 1 - Restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature, i.e., light housework, office work | 2, 2 - Ambulatory and capable of all self-care but unable to carry out any work activities. Up and about more than 50% of waking hours | 3, 3 - Capable of only limited self-care, confined to bed or chair more than 50% of waking hours | 4, 4 - Completely disabled. Cannot carry out any self-care. Totally confined to bed or chair","ECOG grading used",,,,,,,LV,,,,
general_exam_comments,initial_clinical_assessment,,notes,"Comments on general exam",,,,,,,,,LV,,,,
sexually_active,initial_clinical_assessment,"Pregnancy screen
",yesno,"Sexually active?",,,,,,,"[sex] = '2'",,,,,,
protection_intercourse,initial_clinical_assessment,,yesno,"Protection during intercourse",,,,,,,"[sex] = '2'",,,,,,
birth_control,initial_clinical_assessment,,yesno,"Birth control",,,,,,,"[sex] = '2'",,,,,,
type_of_birth_control,initial_clinical_assessment,,text,"Type of birth control",,,,,,,"[sex] = '2'",,,,,,
last_menstruation,initial_clinical_assessment,,text,"Last menstruation",,,date_dmy,,,,"[sex] = '2'",,,,,,
suspected_pregnancy,initial_clinical_assessment,,radio,"Suspected pregnancy?","1, Yes | 0, No",,,,,,"[sex] = '2'",,,,,,
abd_distension,abdominal_assessment,"Abdominal assessment",radio,"Abdominal distension","1, Yes | 0, No",,,,,,,,,,abd_assessment,,
dupuytrens_contracture,abdominal_assessment,,radio,"Dupuytren's contracture","1, Yes | 0, No",,,,,,,,,,abd_assessment,,
gynaecomastia,abdominal_assessment,,radio,Gynaecomastia,"1, Yes | 0, No",,,,,,,,,,abd_assessment,,
hepatic_flap,abdominal_assessment,,radio,"Hepatic flap","1, Yes | 0, No",,,,,,,,,,abd_assessment,,
abd_masses,abdominal_assessment,,radio,Masses,"1, Yes | 0, No",,,,,,,,,,abd_assessment,,
abd_pulsation,abdominal_assessment,,radio,Pulsation,"1, Yes | 0, No",,,,,,,,,,abd_assessment,,
stoma,abdominal_assessment,,radio,Stoma,"1, Yes | 0, No",,,,,,,,,,abd_assessment,,
virchows_node,abdominal_assessment,,radio,"Virchow's node","1, Yes | 0, No",,,,,,,,,,abd_assessment,,
bowel_sounds,abdominal_assessment,,dropdown,"Bowel sounds","1, Normal|2, Abnormal|3, Absent",,,,,,,,,,,,
abd_percussion,abdominal_assessment,,dropdown,Percussion,"1, Normal|2, Abnormal",,,,,,,,,,,,
aortic_bruit,abdominal_assessment,Bruits,checkbox,"Aortic bruit","1, Present L|2, Present R|3, Absent L|4, Absent R",,,,,,,,,,bruits,,
renal_bruit,abdominal_assessment,,checkbox,"Renal bruit","1, Present L|2, Present R|3, Absent L|4, Absent R",,,,,,,,,,bruits,,
r_hypochondriac,abdominal_assessment,"Light palpation",checkbox,"Right hypochondriac region","1, Tenderness | 2, Rebound tenderness | 3, Guarding | 4, Masses | 5, Normal",,,,,,,,,,light_palpation,,
epigastric,abdominal_assessment,,checkbox,"Epigastric region","1, Tenderness | 2, Rebound tenderness | 3, Guarding | 4, Masses | 5, Normal",,,,,,,,,,light_palpation,,
l_hypochondriac,abdominal_assessment,,checkbox,"Left hypochondriac region","1, Tenderness | 2, Rebound tenderness | 3, Guarding | 4, Masses | 5, Normal",,,,,,,,,,light_palpation,,
r_lumbar,abdominal_assessment,,checkbox,"Right Lumbar region","1, Tenderness | 2, Rebound tenderness | 3, Guarding | 4, Masses | 5, Normal",,,,,,,,,,light_palpation,,
umbilical,abdominal_assessment,,checkbox,"Umbilical region","1, Tenderness | 2, Rebound tenderness | 3, Guarding | 4, Masses | 5, Normal",,,,,,,,,,light_palpation,,
l_lumbar,abdominal_assessment,,checkbox,"Left Lumbar region","1, Tenderness | 2, Rebound tenderness | 3, Guarding | 4, Masses | 5, Normal",,,,,,,,,,light_palpation,,
r_iliac,abdominal_assessment,,checkbox,"Right Iliac region","1, Tenderness | 2, Rebound tenderness | 3, Guarding | 4, Masses | 5, Normal",,,,,,,,,,light_palpation,,
hypogastric,abdominal_assessment,,checkbox,"Hypogastric region","1, Tenderness | 2, Rebound tenderness | 3, Guarding | 4, Masses | 5, Normal",,,,,,,,,,light_palpation,,
l_iliac,abdominal_assessment,,checkbox,"Left Iliac region","1, Tenderness | 2, Rebound tenderness | 3, Guarding | 4, Masses | 5, Normal",,,,,,,,,,light_palpation,,
deep_palp_aorta,abdominal_assessment,"Deep palpation",radio,Aorta,"1, Normal | 2, Abnormal",,,,,,,,,,deep_palpation,,
deep_palp_bladder,abdominal_assessment,,radio,Bladder,"1, Normal | 2, Abnormal",,,,,,,,,,deep_palpation,,
deep_palp_gallbladder,abdominal_assessment,,radio,Gallbladder,"1, Normal | 2, Abnormal",,,,,,,,,,deep_palpation,,
deep_palp_kidneys,abdominal_assessment,,radio,Kidneys,"1, Normal | 2, Abnormal",,,,,,,,,,deep_palpation,,
deep_palp_liver,abdominal_assessment,,radio,Liver,"1, Normal | 2, Abnormal",,,,,,,,,,deep_palpation,,
deep_palp_spleen,abdominal_assessment,,radio,Spleen,"1, Normal | 2, Abnormal",,,,,,,,,,deep_palpation,,
abd_assessment_comments,abdominal_assessment,,notes,"Comments on abdominal assessment",,,,,,,,,LV,,,,
chest_wall_deformities,cardiac_assessment,"Cardiac assessment",radio,"Chest wall deformities","1, Yes | 0, No",,,,,,,,,,cardiac_assessment,,
oedema,cardiac_assessment,,radio,Oedema,"1, Yes | 0, No",,,,,,,,,,cardiac_assessment,,
visible_pulsations,cardiac_assessment,,radio,"Visible pulsations","1, Yes | 0, No",,,,,,,,,,cardiac_assessment,,
capillary_refill_time,cardiac_assessment,"Other signs",radio,"Capillary refill time","1, Normal|2, Abnormal",,,,,,,,,,cvs_other_signs,,
hepatojugular_reflux,cardiac_assessment,,radio,"Hepatojugular reflux","1, Normal|2, Abnormal",,,,,,,,,,cvs_other_signs,,
jugular_venous_pressure,cardiac_assessment,,radio,"Jugular venous pressure","1, Normal|2, Abnormal",,,,,,,,,,cvs_other_signs,,
anterior_tibial,cardiac_assessment,Pulses,checkbox,"Anterior Tibial","1, Normal L|2, Normal R|3, Abnormal L|4, Abnormal R",,,,,,,,,,pulses,,
brachial,cardiac_assessment,,checkbox,Brachial,"1, Normal L|2, Normal R|3, Abnormal L|4, Abnormal R",,,,,,,,,,pulses,,
carotid,cardiac_assessment,,checkbox,Carotid,"1, Normal L|2, Normal R|3, Abnormal L|4, Abnormal R",,,,,,,,,,pulses,,
dorsalis_pedis,cardiac_assessment,,checkbox,"Dorsalis Pedis","1, Normal L|2, Normal R|3, Abnormal L|4, Abnormal R",,,,,,,,,,pulses,,
femoral,cardiac_assessment,,checkbox,Femoral,"1, Normal L|2, Normal R|3, Abnormal L|4, Abnormal R",,,,,,,,,,pulses,,
popliteal,cardiac_assessment,,checkbox,Popliteal,"1, Normal L|2, Normal R|3, Abnormal L|4, Abnormal R",,,,,,,,,,pulses,,
radial,cardiac_assessment,,checkbox,Radial,"1, Normal L|2, Normal R|3, Abnormal L|4, Abnormal R",,,,,,,,,,pulses,,
apex_beat,cardiac_assessment,Palpation,radio,"Apex beat","1, Yes | 0, No",,,,,,,,,,cvs_palpation,,
heaves,cardiac_assessment,,radio,Heaves,"1, Yes | 0, No",,,,,,,,,,cvs_palpation,,
thrills,cardiac_assessment,,radio,Thrills,"1, Yes | 0, No",,,,,,,,,,cvs_palpation,,
aortic,cardiac_assessment,Valves,radio,Aortic,"1, Normal|2, Abnormal",,,,,,,,,,valves,,
mitral,cardiac_assessment,,radio,Mitral,"1, Normal|2, Abnormal",,,,,,,,,,valves,,
pulmonary,cardiac_assessment,,radio,Pulmonary,"1, Normal|2, Abnormal",,,,,,,,,,valves,,
tricuspid,cardiac_assessment,,radio,Tricuspid,"1, Normal|2, Abnormal",,,,,,,,,,valves,,
extra_heart_sounds,cardiac_assessment,"Heart sounds",radio,"Are there any extra sounds?","1, Yes | 0, No",,,,,,,,,,heart_sounds,,
heart_sounds_normal,cardiac_assessment,,radio,"Are the heart sounds normal in character?","1, Yes | 0, No",,,,,,,,,,heart_sounds,,
murmurs,cardiac_assessment,,radio,"Are there any murmurs?","1, Yes | 0, No",,,,,,,,,,heart_sounds,,
rub,cardiac_assessment,,radio,"Can you hear any rub?","1, Yes | 0, No",,,,,,,,,,heart_sounds,,
cardiac_assess_comments,cardiac_assessment,,notes,"Comments on cardiac assessment",,,,,,,,,LV,,,,
resp_cough,respiratory_assessment,"Respiratory assessment",radio,Cough,"1, Yes | 0, No",,,,,,,,,,resp_assessment,,
cachexia,respiratory_assessment,,radio,Cachexia,"1, Yes | 0, No",,,,,,,,,,resp_assessment,,
fine_tremor,respiratory_assessment,,radio,"Fine tremor","1, Yes | 0, No",,,,,,,,,,resp_assessment,,
flapping_tremor,respiratory_assessment,,radio,"Flapping tremor","1, Yes | 0, No",,,,,,,,,,resp_assessment,,
intercostal_retractions,respiratory_assessment,,radio,"Intercostal retractions","1, Yes | 0, No",,,,,,,,,,resp_assessment,,
nasal_flare,respiratory_assessment,,radio,"Nasal flare","1, Yes | 0, No",,,,,,,,,,resp_assessment,,
pulsus_paradoxus,respiratory_assessment,,radio,"Pulsus paradoxus","1, Yes | 0, No",,,,,,,,,,resp_assessment,,
stridor,respiratory_assessment,,radio,Stridor,"1, Yes | 0, No",,,,,,,,,,resp_assessment,,
supplemental_oxygen,respiratory_assessment,,radio,"Supplemental oxygen","1, Yes | 0, No",,,,,,,,,,resp_assessment,,
resp_wheeze,respiratory_assessment,,radio,Wheeze,"1, Yes | 0, No",,,,,,,,,,resp_assessment,,
trachea_deviation,respiratory_assessment,,dropdown,"Trachea deviation","1, Right|2, Left",,,,,,"[respiratory] = '2'",,,,,,
resp_percussion,respiratory_assessment,,checkbox,"Percussion ","1, Resonant throughout|2, Dullness|3, Stony dullness|4, Hyper-resonant",,,,,,"[respiratory] = '2'",,,,,,
resp_auscultation,respiratory_assessment,,checkbox,Auscultation,"1, Decreased air-entry|2, Bronchial breathing|3, Fine crackles|4, Coarse crackles|5, Wheezing",,,,,,"[respiratory] = '2'",,,,,,
resp_assessment_comments,respiratory_assessment,,notes,"Comments on respiratory examination",,,,,,,,,LV,,,,
level_of_conscious,neuro_assessment,"Neurological assessment",yesno,"Decreased level of consciousness",,,,,,,,,,,,,
motor_score,neuro_assessment,,dropdown,"Motor Score","1, Obeys commands (+6) | 2, Localizes pain (+5) | 3, Withdrawal from pain (+4) | 4, Flexion to pain (+3) | 5, Extension to pain (+2) | 6, No motor response (+1) | 7, Not testable (NT)",,,,,,,,,,,,
verbal_score,neuro_assessment,,dropdown,"Verbal score","1, Oriented (+5) | 2, Confused (+4) | 3, Inappropriate words (+3) | 4, Incomprehensible sounds (+2) | 5, No verbal response (+1) | 6, Not testable (NT)",,,,,,,,,,,,
eye_opening_score,neuro_assessment,,dropdown,"Eye-opening score","1, Spontaneously (+4) | 2, To verbal command (+3) | 3, To pain (+2) | 4, No eye opening (+1) | 5, Not testable (NT)",,,,,,,,,,,,
total_gcs,neuro_assessment,,calc,"Total GCS
<i>Score out of 15</i>","([motor_score] + [verbal_score] + [eye_opening_score])",Calculated,,,,,"[verbal_score] = '2' or [verbal_score] = '1' or [verbal_score] = '3' or [verbal_score] = '4'",,,,,,@readonly
gcs_adapted,neuro_assessment,,yesno,"Does the score need to be adapted?
<i>Score out of 10</i>",,,,,,,,,,,,,
gcs_adapted_score,neuro_assessment,,text,"GCS adapted score
<i>Score out of 10</i>",,,number,,,,"[gcs_adapted] = '1'",,,,,,
gcs_outcome,neuro_assessment,,dropdown,"GCS outcome","1, Severe: GCS 8 or less | 2, Moderate: GCS 9-12 | 3, Mild: GCS 13-15",,,,,,,,,,,,
cerebellar_signs,neuro_assessment,Paralysis,radio,"Cerebellar signs","1, Yes|0, No|3, Unable to test",,,,,,,,,,paralysis,,
nuchal_rigidity,neuro_assessment,,radio,"Nuchal rigidity","1, Yes|0, No|3, Unable to test",,,,,,,,,,paralysis,,
monoplegia,neuro_assessment,,radio,Monoplegia,"1, Yes|0, No|3, Unable to test",,,,,,,,,,paralysis,,
hemi,neuro_assessment,,radio,Hemiplegia,"1, Yes|0, No|3, Unable to test",,,,,,,,,,paralysis,,
paraplegia,neuro_assessment,,radio,Paraplegia,"1, Yes|0, No|3, Unable to test",,,,,,,,,,paralysis,,
i_olfactory_nerve,neuro_assessment,"Cranial nerves",radio,"I Olfactory nerve","1, Normal|2, Abnormal|3, Not tested|4, Unable to test",,,,,,,,,,cranial_nerves,,
